Date,Open,High,Low,Close,Volume,Adj Close
1987-07-29,24407,24538,24298,24427,0,24427,
1987-07-28,24121,24386,24121,24386,0,24386,
1987-07-27,23967,24108,23844,24105,0,24105,
1987-07-24,23040,23946,23040,23943,0,23943,
1987-07-23,22713,23047,22401,23037,0,23037,
1987-07-22,23097,23204,22646,22703,0,22703,
1987-07-21,23306,23366,22925,23078,0,23078,
1987-07-20,23817,23981,23327,23329,0,23329,
1987-07-17,24033,24127,23965,23983,0,23983,
1987-07-16,23991,24113,23973,24004,0,24004,
1987-07-15,23927,24021,23870,23970,0,23970,
1987-07-14,24102,24111,23927,23932,0,23932,
1987-07-13,24123,24237,24042,24118,0,24118,
1987-07-10,23794,24153,23794,24103,0,24103,
1987-07-09,23469,23810,23392,23756,0,23756,
1987-07-08,23841,24116,23434,23472,0,23472,
1987-07-07,23865,23923,23488,23816,0,23816,
1987-07-06,24159,24159,23790,23871,0,23871,
1987-07-03,24659,24861,24424,24465,0,24465,
1987-07-02,24268,24668,24257,24636,0,24636,
1987-07-01,24174,24288,23733,24252,0,24252,
1987-06-30,24489,24489,23898,24176,0,24176,
1987-06-29,24911,24950,24411,24509,0,24509,
1987-06-26,25047,25311,25010,25050,0,25050,
1987-06-25,24901,25135,24901,25031,0,25031,
1987-06-24,24811,24999,24807,24893,0,24893,
1987-06-23,24625,24980,24619,24795,0,24795,
1987-06-22,25289,25294,24639,24640,0,24640,
1987-06-19,25760,25791,25195,25288,0,25288,
1987-06-18,25909,25920,25429,25751,0,25751,
1987-06-17,25772,25939,25772,25929,0,25929,
1987-06-16,25772,25874,25735,25739,0,25739,
1987-06-15,25900,25986,25737,25756,0,25756,
1987-06-12,25909,26000,25892,25894,0,25894,
1987-06-11,25742,25933,25742,25891,0,25891,
1987-06-10,25376,25745,25376,25739,0,25739,
1987-06-09,25551,25667,25371,25380,0,25380,
1987-06-08,25381,25529,25370,25524,0,25524,
1987-06-05,25390,25537,25261,25271,0,25271,
1987-06-04,25069,25446,25069,25366,0,25366,
1987-06-03,24895,25050,24829,25049,0,25049,
1987-06-02,25001,25052,24862,24903,0,24903,
1987-06-01,24905,25097,24905,24993,0,24993,
1987-05-29,24453,24798,24453,24772,0,24772,
1987-05-28,24549,24609,24428,24434,0,24434,
1987-05-27,24600,24600,24493,24540,0,24540,
1987-05-26,24583,24659,24536,24581,0,24581,
1987-05-25,24539,24712,24484,24583,0,24583,
1987-05-22,23785,24172,23785,24157,0,24157,
1987-05-21,23440,23777,23440,23754,0,23754,
1987-05-20,24080,24080,23368,23420,0,23420,
1987-05-19,24295,24345,24078,24078,0,24078,
1987-05-18,24729,24729,24298,24299,0,24299,
1987-05-15,24660,24843,24596,24729,0,24729,
1987-05-14,24356,24683,24356,24651,0,24651,
1987-05-13,24527,24608,24363,24363,0,24363,
1987-05-12,24610,24624,24523,24536,0,24536,
1987-05-11,24605,24743,24582,24608,0,24608,
1987-05-08,24232,24611,24232,24589,0,24589,
1987-05-07,23941,24218,23941,24208,0,24208,
1987-05-06,24015,24161,23786,23919,0,23919,
1987-05-01,23294,23688,23294,23681,0,23681,
1987-04-30,22893,23276,22893,23275,0,23275,
1987-04-28,23073,23121,22006,22890,0,22890,
1987-04-27,23915,23955,23072,23072,0,23072,
1987-04-24,24019,24210,24006,24006,0,24006,
1987-04-23,24092,24256,23951,24025,0,24025,
1987-04-22,23900,24124,23900,24098,0,24098,
1987-04-21,23886,24027,23762,23886,0,23886,
1987-04-20,23940,24096,23895,23895,0,23895,
1987-04-17,23874,23990,23864,23938,0,23938,
1987-04-16,23533,23869,23533,23868,0,23868,
1987-04-15,23523,23659,23177,23511,0,23511,
1987-04-14,22919,23528,22710,23524,0,23524,
1987-04-13,23222,23271,22651,22920,0,22920,
1987-04-10,22909,23222,22602,23217,0,23217,
1987-04-09,22916,23225,22851,22922,0,22922,
1987-04-08,22780,22979,22761,22913,0,22913,
1987-04-07,22592,22859,22592,22785,0,22785,
1987-04-06,22750,22891,22581,22586,0,22586,
1987-04-03,22358,22531,22355,22411,0,22411,
1987-04-02,22036,22543,22036,22368,0,22368,
1987-04-01,21576,22040,21576,22040,0,22040,
1987-03-31,21616,21759,21304,21567,0,21567,
1987-03-30,22183,22218,21628,21628,0,21628,
1987-03-27,21559,22027,21551,22027,0,22027,
1987-03-26,21470,21583,21469,21559,0,21559,
1987-03-25,21449,21539,21290,21473,0,21473,
1987-03-24,21598,21675,21416,21435,0,21435,
1987-03-23,21657,21866,21582,21588,0,21588,
1987-03-20,21643,21671,21602,21658,0,21658,
1987-03-19,21718,21884,21632,21644,0,21644,
1987-03-18,21519,21789,21519,21705,0,21705,
1987-03-17,21415,21521,21388,21515,0,21515,
1987-03-16,21493,21517,21343,21415,0,21415,
1987-03-13,21476,21527,21446,21498,0,21498,
1987-03-12,21329,21472,21319,21470,0,21470,
1987-03-11,21214,21369,21213,21313,0,21313,
1987-03-10,21166,21231,21104,21214,0,21214,
1987-03-09,21139,21312,21139,21166,0,21166,
1987-03-06,21184,21346,21083,21106,0,21106,
1987-03-05,21047,21261,21047,21176,0,21176,
1987-03-04,20970,21202,20968,21032,0,21032,
1987-03-03,20943,21127,20943,20971,0,20971,
1987-03-02,20771,20948,20771,20934,0,20934,
1987-02-27,20445,20509,20291,20422,0,20422,
1987-02-26,20192,20598,20192,20454,0,20454,
1987-02-25,20077,20262,20077,20186,0,20186,
1987-02-24,19942,20129,19931,20076,0,20076,
1987-02-23,20071,20089,19905,19941,0,19941,
1987-02-20,20226,20246,20045,20080,0,20080,
1987-02-19,19899,20228,19899,20228,0,20228,
1987-02-18,19659,19885,19659,19882,0,19882,
1987-02-17,19523,19642,19514,19638,0,19638,
1987-02-16,19622,19622,19532,19532,0,19532,
1987-02-13,19872,19916,19629,19629,0,19629,
1987-02-12,19818,19941,19818,19875,0,19875,
1987-02-10,19693,19838,19693,19814,0,19814,
1987-02-09,19546,19696,19517,19679,0,19679,
1987-02-06,19786,19817,19669,19669,0,19669,
1987-02-05,19972,20031,19792,19795,0,19795,
1987-02-04,19956,20005,19921,19974,0,19974,
1987-02-03,20084,20114,19894,19956,0,19956,
1987-02-02,20041,20156,20041,20072,0,20072,
1987-01-30,19929,20051,19871,20048,0,20048,
1987-01-29,19783,19921,19735,19921,0,19921,
1987-01-28,19700,19861,19700,19790,0,19790,
1987-01-27,19567,19713,19562,19687,0,19687,
1987-01-26,19554,19701,19536,19555,0,19555,
1987-01-23,19378,19553,19361,19457,0,19457,
1987-01-22,19428,19553,19374,19381,0,19381,
1987-01-21,19215,19435,19215,19429,0,19429,
1987-01-20,19190,19250,19162,19216,0,19216,
1987-01-19,19137,19219,18986,19189,0,19189,
1987-01-16,18794,19151,18794,19150,0,19150,
1987-01-14,18539,18807,18539,18784,0,18784,
1987-01-13,18655,18655,18526,18544,0,18544,
1987-01-12,18794,18794,18651,18669,0,18669,
1987-01-09,18769,18875,18765,18810,0,18810,
1987-01-08,18844,18866,18753,18779,0,18779,
1987-01-07,18941,18990,18684,18842,0,18842,
1987-01-06,18851,19041,18851,18937,0,18937,
