Date,Open,High,Low,Close,Volume,Adj Close
1997-12-30,176.84,179.80,176.84,179.80,000,179.80
1997-12-29,174.38,176.84,174.38,176.84,000,176.84
1997-12-26,174.27,174.46,173.96,174.38,000,174.38
1997-12-24,174.83,175.10,173.99,174.27,000,174.27
1997-12-23,175.55,175.86,174.68,174.83,000,174.83
1997-12-22,174.05,175.99,174.05,175.55,000,175.55
1997-12-19,174.17,174.17,170.85,174.05,000,174.05
1997-12-18,176.59,176.72,174.04,174.17,000,174.17
1997-12-17,176.63,177.30,176.37,176.59,000,176.59
1997-12-16,174.43,176.65,174.43,176.63,000,176.63
1997-12-15,174.99,175.34,173.52,174.43,000,174.43
1997-12-12,175.42,176.09,173.92,174.99,000,174.99
1997-12-11,178.99,178.99,174.17,175.42,000,175.42
1997-12-10,181.07,181.07,178.09,178.99,000,178.99
1997-12-09,182.27,182.27,180.87,181.07,000,181.07
1997-12-08,180.45,182.28,180.45,182.27,000,182.27
1997-12-05,179.48,180.45,178.65,180.45,000,180.45
1997-12-04,179.37,180.03,179.18,179.48,000,179.48
1997-12-03,178.96,179.37,178.15,179.37,000,179.37
1997-12-02,179.63,179.63,178.64,178.96,000,178.96
1997-12-01,177.71,179.64,177.71,179.63,000,179.63
1997-11-28,176.77,178.16,176.77,177.71,000,177.71
1997-11-26,176.41,176.97,176.41,176.77,000,176.77
1997-11-25,176.98,177.46,175.71,176.41,000,176.41
1997-11-24,180.23,180.23,176.65,176.98,000,176.98
1997-11-21,180.42,181.31,180.08,180.23,000,180.23
1997-11-20,178.48,180.75,178.48,180.42,000,180.42
1997-11-19,179.24,179.24,178.17,178.48,000,178.48
1997-11-18,180.94,181.12,179.19,179.24,000,179.24
1997-11-17,177.61,181.27,177.61,180.94,000,180.94
1997-11-14,175.64,177.66,175.64,177.61,000,177.61
1997-11-13,175.89,176.83,174.03,175.64,000,175.64
1997-11-12,180.44,180.44,175.75,175.89,000,175.89
1997-11-11,180.73,180.80,179.50,180.44,000,180.44
1997-11-10,180.45,181.61,180.25,180.74,000,180.74
1997-11-07,183.72,183.72,179.61,180.45,000,180.45
1997-11-06,184.61,184.61,183.69,183.72,000,183.72
1997-11-05,183.35,184.68,183.35,184.61,000,184.61
1997-11-04,182.60,183.35,182.06,183.35,000,183.35
1997-11-03,179.14,182.61,179.14,182.60,000,182.60
1997-10-31,177.21,179.14,177.21,179.14,000,179.14
1997-10-30,179.79,179.79,176.94,177.21,000,177.21
1997-10-29,178.36,181.29,178.36,179.80,000,179.80
1997-10-28,174.00,178.38,168.21,178.27,000,178.27
1997-10-27,185.38,185.38,173.86,174.00,000,174.00
1997-10-24,185.90,187.74,184.68,185.38,000,185.38
1997-10-23,189.35,189.35,185.17,185.90,000,185.90
1997-10-22,189.59,189.88,188.77,189.35,000,189.35
1997-10-21,187.54,189.60,187.52,189.59,000,189.59
1997-10-20,185.57,187.54,185.33,187.54,000,187.54
1997-10-17,189.12,189.12,183.37,185.57,000,185.57
